Student Number ,Section,Age,Gender,Residency Category,Parent's monthly income,Last School Attended(High School),Track,General Weighted Average(GWA) - Grade 11 and 12,Mathematics in the Modern World,Introduction to Computing,Fundamentals of Programming (C++),Purposive Communication,Intermediate Programming(Java),Discrete Mathematics,"Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)"
21-00257,BSIT-1A,20,Male,PR,"9,520.00 - 19,040.00",Public,STEM,90 - 95,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No
21-00042,BSIT-1A,20,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No
21-00471,BSIT-1A,18,Male,PR,"9,520.00 - 19,040.00",Public,STEM,90 - 95,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No
21-00637,BSIT-1B,19,Male,NPR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No
21-00102,BSIT-1A,22,Female,NPR,"19,041.00 - 38,080.00",Private,STEM,90 - 95,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No
21-00339,BSIT-1A,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No
21-00648,BSIT-1B,19,Male,PR,"19,041.00 - 38,080.00",Private,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,No
21-00636,BSIT-1A,18,Male,PR,"9,520.00 - 19,040.00",Public,STEM,85 - 89,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,2.50 - 3.00,No
21-00235,BSIT-1A,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No
21-00946,BSIT-1D,22,Female,PR,"38,081.00 - 60,640.00",Public,4th year high school,85 - 89,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,below 3.00,below 3.00,2.50 - 3.00,Yes
21-00994,BSIT-1C,20,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,below 3.00,below 3.00,No
21-00896,BSIT-1A,20,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,No
21-00989,BSIT-1C,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No
21-00195,BSIT-1B,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,No
21-00975,BSIT-1C,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No
2100343,BSIT-1B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,96 and above,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,No
21-00958,BSIT-1D,22,Male,PR,"below 9,520.00",Public,4th year high school,85 - 89,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,below 3.00,2.50 - 3.00,2.50 - 3.00,No
21-00581,BSIT-1B,19,Male,PR,"9,520.00 - 19,040.00",Public,STEM,85 - 89,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No
07-0223,BSIT-1D,22,Male,PR,"below 9,520.00",Public,4th year high school,81 - 84,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,below 3.00,No
21-01081,BSIT-1D,22,Female,PR,"below 9,520.00",Private,4th year high school,90 - 95,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,below 3.00,1.99  - 1.50,2.50 - 3.00,No
21-01012,BSIT-1C,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,No
21-00194,BSIT-1B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No
21-00065,BSIT-1B,18,Male,PR,"38,081.00 - 60,640.00",Private,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No
21-00066,BSIT-1A,18,Female,NPR,"below 9,520.00",Private,TVL,96 and above,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,No
21-00386,BSIT-1A,20,Female,PR,"below 9,520.00",Private,STEM,85 - 89,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,Yes
21-01052,BSIT-1A,18,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No
21-00011,BSIT-1A,19,Male,PR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,No
21-00069,BSIT-1A,19,Male,PR,"19,041.00 - 38,080.00",Private,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No
21-0004,BSIT-1A,20,Male,PR,"9,520.00 - 19,040.00",Public,STEM,85 - 89,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No
21-00380,BSIT-1A,18,Male,PR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No
21-0010,BSIT-1A,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,below 3.00,No
21-00016,BSIT-1A,20,Female,PR,"below 9,520.00",Public,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,1.49 - 1.00,2.50 - 3.00,No
21-00193,BSIT-1A,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,below 3.00,No
29-00021,BSIT-1A,20,Female,PR,"below 9,520.00",Private,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,below 3.00,below 3.00,below 3.00,No
