Student Number,Section,Age,Gender,Address,Parent's monthly income,Last School Attended(High School),Track,General Weighted Average(GWA) - Grade 11 and 12,Mathematics in the Modern World,Introduction to Computing,Fundamentals of Programming (C++),Purposive Communication,Intermediate Programming(Java),Discrete Mathematics,"Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)",CONTINUE/STOP
20-00324,BSIT-2C,17,Male,NPR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00365,BSIT-2C,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,No,Continue
20-00299,BSIT-2C,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00381,BSIT-2C,18,Female,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
19-00552,BSIT-2C,20,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
20-00316,BSIT-2C,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
18-00371,BSIT-2C,22 and above,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
07-1205,BSIT-2D,22 and above,Male,PR,"19,041.00 - 38,080.00",Public,TVL,81 - 84,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00846,BSIT-2D,22 and above,Male,PR,"38,081.00 - 60,640.00",Private,4th year high school,75 - 80,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00847,BSIT-2D,22 and above,Female,PR,"below 9,520.00",Public,STEM,81 - 84,2.49 - 2.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00836,BSIT-2D,22 and above,Male,PR,"9,520.00 - 19,040.00",Private,4th year high school,81 - 84,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
20-00850,BSIT-2D,22 and above,Female,PR,"9,520.00 - 19,040.00",Private,4th year high school,90 - 95,2.49 - 2.00,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,2.50 - 3.00,Yes,Continue
20-00845,BSIT-2D,22 and above,Male,PR,"below 9,520.00",Public,TVL,75 - 80,2.49 - 2.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00861,BSIT-2D,22 and above,Female,PR,"9,520.00 - 19,040.00",Public,4th year high school,81 - 84,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00853,BSIT-2D,22 and above,Male,PR,"below 9,520.00",Public,TVL,75 - 80,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00841,BSIT-2D,22 and above,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00844,BSIT-2D,22 and above,Male,PR,"9,520.00 - 19,040.00",Private,4th year high school,85 - 89,2.49 - 2.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00848,BSIT-2D,22 and above,Male,PR,"19,041.00 - 38,080.00",Private,STEM,96 and above,2.49 - 2.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00854,BSIT-2D,22 and above,Male,PR,"below 9,520.00",Public,STEM,85 - 89,2.49 - 2.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00852,BSIT-2D,22 and above,Female,PR,"below 9,520.00",Private,STEM,85 - 89,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,1.49 - 1.00,below 3.00,below 3.00,No,Stop
20-00843,BSIT-2D,22 and above,Female,PR,"9,520.00 - 19,040.00",Private,ABM,90 - 95,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
20-00849,BSIT-2D,22 and above,Female,PR,"below 9,520.00",Public,STEM,85 - 89,2.49 - 2.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
19-01191,,18,M,NPR,"below 9,520.00",Private,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,below 3.00,2.50 - 3.00,No,Stop
19-00591,,18,M,PR,"below 9,520.00",Private,ABM,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Stop
19-00569,,18,F,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Stop
19-00546,,18,F,PR,"below 9,520.00",Private,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Stop
19-00530,,18,M,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Stop
19-00528,,18,M,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.49 - 2.00,below 3.00,2.49 - 2.00,below 3.00,2.50 - 3.00,No,Stop
19-00501,,18,M,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Stop
19-00461,,18,F,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,below 3.00,below 3.00,2.50 - 3.00,2.50 - 3.00,below 3.00,No,Stop
19-00562,,18,F,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Stop
19-00429,,18,M,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No,Stop
19-00379,,18,M,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Stop
19-00390,,18,F,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,below 3.00,2.50 - 3.00,below 3.00,2.50 - 3.00,No,Stop
19-00516,,18,M,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Stop
19-00450,,18,M,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,No,Stop
19-00426,,18,F,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Stop
19-01260,,18,F,PR,"below 9,520.00",Public,4th year,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Stop
19-01240,,18,F,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Stop
19-00572,,18,F,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Stop
19-01150,,18,M,NPR,"below 9,520.00",Private,TVL,81 - 84,below 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Stop
19-00462,,18,F,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Stop
19-01243,,18,F,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,below 3.00,2.50 - 3.00,No,Stop
19-00440,,18,M,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Stop
19-00491,,18,F,PR,"below 9,520.00",Private,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Stop
19-01212,,18,M,PR,"below 9,520.00",Public,TVL,85 - 89,below 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Stop
19-00508,BSIT-3A,19,Female,PR,"below 9,520.00",Public,TVL,96 and above,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
19-00410,BSIT-3A,18,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00486,BSIT-3A,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00615,BSIT-3A,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00380,BSIT-3A,19,Male,PR,"below 9,520.00",Public,STEM,96 and above,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,below 3.00,2.50 - 3.00,No,Continue
19-00535,BSIT-3A,20,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00402,BSIT-3A,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00373,BSIT-3A,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,Yes,Continue
19-01284,BSIT-3A,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
19-00430,BSIT-3A,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00490,BSIT-3A,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,Yes,Continue
19-00492,BSIT-3A,18,Female,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00388,BSIT-3A,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00859,BSIT-3A,20,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00385,BSIT-3A,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00559,BSIT-3A,19,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,1.49 - 1.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00414,BSIT-3A,18,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,Yes,Continue
19-00583,BSIT-3A,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
19-00384,BSIT-3A,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
19-00453,BSIT-3A,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00510,BSIT-3A,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00386,BSIT-3A,19,Male,NPR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00858,BSIT-3A,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00482,BSIT-3A,19,Male,PR,"9,520.00 - 19,040.00",Public,ABM,90 - 95,2.49 - 2.00,2.49 - 2.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,2.50 - 3.00,No,Continue
19-00406,BSIT-3A,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,No,Continue
19-00377,BSIT-3A,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00376,BSIT-3A,18,Female,PR,"19,041.00 - 38,080.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00860,BSIT-3A,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00517,BSIT-3A,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00761,BSIT-3A,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-01223,BSIT-3A,19,Male,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00555,BSIT-3B,20,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00374,BSIT-3B,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00415,BSIT-3B,18,Male,PR,"38,081.00 - 60,640.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-01293,BSIT-3B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00411,BSIT-3B,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,Yes,Continue
19-00432,BSIT-3B,20,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00573,BSIT-3B,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00485,BSIT-3B,20,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No,Continue
19-00606,BSIT-3B,19,Male,NPR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00532,BSIT-3B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
19-00434,BSIT-3B,19,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00537,BSIT-3B,18,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00565,BSIT-3B,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00417,BSIT-3B,19,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00539,BSIT-3B,18,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00495,BSIT-3B,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00548,BSIT-3B,19,Female,PR,"below 9,520.00",Private,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
19-01283,BSIT-3B,20,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,Yes,Continue
19 00604,BSIT-3B,19,Male,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00421,BSIT-3B,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,Yes,Continue
19-00494,BSIT-3B,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00304,BSIT-3B,20,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00398,BSIT-3B,18,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
18-00385,BSIT-3B,20,Female,PR,"below 9,520.00",Public,ABM,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00538,BSIT-3B,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00407,BSIT-3B,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00427,BSIT-3B,19,Male,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00621,BSIT-3B,20,Male,PR,"9,520.00 - 19,040.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,Yes,Continue
19-01075,BSIT-3B,19,Male,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00404,BSIT-3B,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No,Continue
19-00403,BSIT-3B,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00580,BSIT-3B,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00428,BSIT-3B,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,Yes,Continue
19-00553,BSIT-3B,18,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00408,BSIT-3B,18,Female,PR,"19,041.00 - 38,080.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,No,Continue
19-00607,BSIT-3B,18,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00465,BSIT-3B,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00605,BSIT-3B,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,Yes,Continue
19-00602,BSIT-3B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00449,BSIT-3B,19,Male,PR,"19,041.00 - 38,080.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,Yes,Continue
19-00520,BSIT-3B,20,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00928,BSIT-3B,20,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00381,BSIT-3C,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,1.49 - 1.00,2.49 - 2.00,1.49 - 1.00,1.99  - 1.50,No,Continue
19-00445,BSIT-3C,19,Male,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00568,BSIT-3C,19,Male,PR,"19,041.00 - 38,080.00",Public,ABM,90 - 95,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00613,BSIT-3C,20,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,Yes,Continue
19-00392,BSIT-3C,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No,Continue
19-00389,BSIT-3C,19,Male,PR,"19,041.00 - 38,080.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
19-00452,BSIT-3C,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
